source_pool,subset_size,rank_mean_median,log_rank_median,proxydiff_median,proxydiff_min,proxydiff_max,proxydiff_median_rank
retained_pool,3,92.3501968383789,93.66141510009766,93.05964660644531,92.13018035888672,94.28227233886719,605
retained_pool,5,92.20387268066406,94.04368591308594,94.37925720214844,94.28677368164062,94.39903259277344,3
full_proxy_pool,3,92.84135437011719,93.74855041503906,94.27816772460938,93.85543823242188,94.69449615478516,10
full_proxy_pool,5,93.38108825683594,94.26768493652344,93.86549377441406,93.5233154296875,94.07547760009766,117
