coordinate,proxy,oriented_spearman,abs_spearman
axis_1,jacob,0.9160607368219205,0.9160607368219205
axis_1,l2_norm,0.9531947238486502,0.9531947238486502
axis_1,meco,0.8079465132402043,0.8079465132402043
axis_1,near,0.9233000502036035,0.9233000502036035
axis_1,nwot,0.966224928081346,0.966224928081346
axis_1,swap,0.8317097495122042,0.8317097495122042
axis_1,zen,-0.9313214704077649,0.9313214704077649
axis_1,zico,0.9091266963638249,0.9091266963638249
axis_2,jacob,0.1951757505342259,0.1951757505342259
axis_2,l2_norm,0.10186851453767916,0.10186851453767916
axis_2,meco,0.5828845556184208,0.5828845556184208
axis_2,near,0.0031540613121468814,0.0031540613121468814
axis_2,nwot,0.19090916335296323,0.19090916335296323
axis_2,swap,-0.22500724167940162,0.22500724167940162
axis_2,zen,-0.040376447338013696,0.040376447338013696
axis_2,zico,0.05580409438277459,0.05580409438277459
axis_3,jacob,-0.17974012851332163,0.17974012851332163
axis_3,l2_norm,-0.016589395823446575,0.016589395823446575
axis_3,meco,0.27728326785614676,0.27728326785614676
axis_3,near,0.0032815625273928395,0.0032815625273928395
axis_3,nwot,0.05426611097387022,0.05426611097387022
axis_3,swap,0.44811072856305706,0.44811072856305706
axis_3,zen,-0.020580289905888168,0.020580289905888168
axis_3,zico,-0.09836081250149416,0.09836081250149416
axis_4,jacob,0.23054221108712997,0.23054221108712997
axis_4,l2_norm,-0.09878089309939785,0.09878089309939785
axis_4,meco,-0.059606818127485285,0.059606818127485285
axis_4,near,0.15917729840862546,0.15917729840862546
axis_4,nwot,0.1787933603742161,0.1787933603742161
axis_4,swap,0.12793726295213853,0.12793726295213853
axis_4,zen,0.1593255185713489,0.1593255185713489
axis_4,zico,-0.21036903632987752,0.21036903632987752
axis_5,jacob,0.1795170012977381,0.1795170012977381
axis_5,l2_norm,-0.03749735578091481,0.03749735578091481
axis_5,meco,0.015084987528787386,0.015084987528787386
axis_5,near,-0.20677350205994155,0.20677350205994155
axis_5,nwot,0.10316601455107619,0.10316601455107619
axis_5,swap,0.14882437762409445,0.14882437762409445
axis_5,zen,0.11062324187777416,0.11062324187777416
axis_5,zico,0.21408888428467834,0.21408888428467834
axis_6,jacob,-0.09389671361503095,0.09389671361503095
axis_6,l2_norm,-0.08334278590799125,0.08334278590799125
axis_6,meco,0.03187530381148946,0.03187530381148946
axis_6,near,0.1564535536979337,0.1564535536979337
axis_6,nwot,-0.059686506387014004,0.059686506387014004
axis_6,swap,-0.016045250235390943,0.016045250235390943
axis_6,zen,0.16997983887033924,0.16997983887033924
axis_6,zico,0.13545410354692444,0.13545410354692444
axis_7,jacob,-0.11869650674422876,0.11869650674422876
axis_7,l2_norm,-0.05878141430719496,0.05878141430719496
axis_7,meco,-0.05297834869988605,0.05297834869988605
axis_7,near,-0.0588067480018169,0.0588067480018169
axis_7,nwot,0.16597630071161615,0.16597630071161615
axis_7,swap,-0.0985888387694113,0.0985888387694113
axis_7,zen,0.07278406872315503,0.07278406872315503
axis_7,zico,-0.035929842456310916,0.035929842456310916
axis_8,jacob,-0.03785751653831176,0.03785751653831176
axis_8,l2_norm,0.1593048426970271,0.1593048426970271
axis_8,meco,-0.028767461689869236,0.028767461689869236
axis_8,near,-0.03632350245838281,0.03632350245838281
axis_8,nwot,-0.028788180637346703,0.028788180637346703
axis_8,swap,-0.024037992220043092,0.024037992220043092
axis_8,zen,0.09893616173529156,0.09893616173529156
axis_8,zico,-0.030570010120408966,0.030570010120408966
axis_9,jacob,-0.010533198341368741,0.010533198341368741
axis_9,l2_norm,-0.00471190739703675,0.00471190739703675
axis_9,meco,-0.0005179736869367037,0.0005179736869367037
axis_9,near,-0.013661755213604382,0.013661755213604382
axis_9,nwot,-0.011040011475109373,0.011040011475109373
axis_9,swap,-0.0058515158916551116,0.0058515158916551116
axis_9,synflow,0.8127883718891697,0.8127883718891697
axis_9,zen,0.006237996955908486,0.006237996955908486
axis_9,zico,-0.0004510355489325758,0.0004510355489325758
